date,close,open,high,low,volume,fng_value,fng_classification,change_percent,next_change_percent
2024-07-07,55861.1,58240.2,58394.6,55756.3,41.12,29.0,Fear,-4.12,1.55
2024-07-08,56724.7,55850.2,58115.8,54320.0,102.91,28.0,Fear,1.55,2.32
2024-07-09,58039.4,56721.3,58234.0,56306.3,64.25,27.0,Fear,2.32,-0.5
2024-07-10,57746.7,58040.2,59393.8,57185.3,59.6,28.0,Fear,-0.5,-0.71
2024-07-11,57337.3,57745.9,59404.4,57095.0,66.4,29.0,Fear,-0.71,0.96
2024-07-12,57885.1,57338.3,58520.9,56575.7,56.84,25.0,Extreme Fear,0.96,2.29
2024-07-13,59209.8,57897.4,59826.5,57770.6,34.28,25.0,Extreme Fear,2.29,2.68
2024-07-14,60794.9,59207.9,61326.9,59207.9,47.48,33.0,Fear,2.68,6.56
2024-07-15,64782.4,60794.7,64869.5,60678.8,96.02,52.0,Neutral,6.56,0.41
2024-07-16,65049.7,64749.2,65319.5,62430.8,93.63,65.0,Greed,0.41,-1.48
2024-07-17,64089.2,65052.8,66051.5,63897.5,66.11,69.0,Greed,-1.48,-0.17
2024-07-18,63980.5,64090.4,65102.0,63253.5,51.27,61.0,Greed,-0.17,4.22
2024-07-19,66677.4,63981.2,67390.4,63326.1,82.87,60.0,Greed,4.22,0.71
2024-07-20,67148.5,66677.0,67586.4,66257.4,32.94,74.0,Greed,0.71,1.5
2024-07-21,68158.7,67147.8,68352.9,65825.6,47.19,74.0,Greed,1.5,-0.89
2024-07-22,67553.6,68158.4,68468.9,66601.8,54.88,70.0,Greed,-0.89,-2.39
2024-07-23,65937.8,67550.4,67750.2,65512.9,69.58,71.0,Greed,-2.39,-0.86
2024-07-24,65370.5,65936.8,67072.1,65155.2,52.47,69.0,Greed,-0.86,0.66
2024-07-25,65799.3,65363.9,66088.6,63500.9,77.46,68.0,Greed,0.66,3.21
2024-07-26,67908.6,65799.7,68205.0,65764.3,59.13,68.0,Greed,3.21,-0.1
2024-07-27,67843.1,67910.8,69387.6,66776.8,67.99,72.0,Greed,-0.1,0.61
2024-07-28,68256.3,67888.9,68291.9,67067.8,26.17,71.0,Greed,0.61,-2.14
2024-07-29,66798.7,68256.3,70000.2,66544.5,85.67,74.0,Greed,-2.14,-0.92
2024-07-30,66184.9,66796.1,66998.3,65328.7,54.43,67.0,Greed,-0.92,-2.36
2024-07-31,64626.0,66185.4,66825.6,64538.3,51.52,61.0,Greed,-2.36,1.16
2024-08-01,65372.9,64625.7,65587.9,62303.9,84.2,52.0,Neutral,1.16,-5.96
2024-08-02,61478.7,65351.8,65567.1,61242.3,93.89,57.0,Greed,-5.96,-1.27
2024-08-03,60696.7,61480.8,62184.2,59914.6,65.74,37.0,Fear,-1.27,-4.21
2024-08-04,58141.8,60700.2,61086.5,57346.9,72.71,34.0,Fear,-4.21,-7.16
2024-08-05,53979.0,58142.9,58291.4,49486.9,333.46,26.0,Fear,-7.16,3.85
2024-08-06,56057.8,54010.8,57025.6,53998.2,113.89,17.0,Extreme Fear,3.85,-1.67
2024-08-07,55120.9,56049.9,57669.6,54598.5,94.52,29.0,Fear,-1.67,11.94
2024-08-08,61699.7,55112.8,62563.5,54786.9,109.77,20.0,Extreme Fear,11.94,-1.38
2024-08-09,60850.6,61697.8,61712.3,59570.2,69.55,48.0,Neutral,-1.38,0.13
2024-08-10,60931.7,60844.5,61344.5,60264.2,22.91,40.0,Fear,0.13,-3.64
2024-08-11,58713.3,60929.8,61677.3,58388.7,41.06,39.0,Fear,-3.64,1.08
2024-08-12,59350.0,58711.7,60606.2,57689.0,79.31,25.0,Extreme Fear,1.08,2.1
2024-08-13,60595.2,59350.2,61537.0,58492.4,62.92,31.0,Fear,2.1,-3.11
2024-08-14,58707.8,60594.6,61543.0,58491.2,64.79,30.0,Fear,-3.11,-2.0
2024-08-15,57534.6,58710.1,59831.4,56275.7,81.47,29.0,Fear,-2.0,2.33
2024-08-16,58877.2,57545.1,59817.3,57129.1,64.01,27.0,Fear,2.33,1.03
2024-08-17,59483.1,58877.8,59659.5,58825.5,18.51,25.0,Extreme Fear,1.03,-1.74
2024-08-18,58446.3,59485.4,60216.3,58436.1,30.82,31.0,Fear,-1.74,1.75
2024-08-19,59470.9,58445.8,59598.5,57872.0,49.19,28.0,Fear,1.75,-0.78
2024-08-20,59005.8,59470.3,61331.6,58612.0,69.77,30.0,Fear,-0.78,3.65
2024-08-21,61158.1,59010.0,61812.0,58831.1,91.31,26.0,Fear,3.65,-1.29
2024-08-22,60372.2,61158.3,61399.7,59815.8,74.39,39.0,Fear,-1.29,6.1
2024-08-23,64053.1,60374.7,64830.1,60354.4,125.5,34.0,Fear,6.1,0.17
2024-08-24,64159.3,64061.7,64458.9,63579.5,54.14,56.0,Greed,0.17,0.18
2024-08-25,64273.2,64160.7,64939.2,63796.6,41.61,54.0,Neutral,0.18,-2.22
2024-08-26,62846.2,64240.7,64472.5,62841.1,68.89,55.0,Greed,-2.22,-5.4
2024-08-27,59450.9,62832.2,63201.4,58187.3,108.53,48.0,Neutral,-5.4,-0.73
2024-08-28,59016.0,59425.6,60198.4,57912.1,109.47,30.0,Fear,-0.73,0.61
2024-08-29,59373.5,59027.3,61150.6,58807.1,87.19,29.0,Fear,0.61,-0.43
2024-08-30,59119.7,59371.7,59817.6,57874.7,87.31,34.0,Fear,-0.43,-0.24
2024-08-31,58978.6,59120.4,59447.0,58761.1,30.86,29.0,Fear,-0.24,-2.82
2024-09-01,57315.7,58975.7,59058.7,57232.4,63.95,26.0,Fear,-2.82,3.17
2024-09-02,59134.0,57309.0,59416.6,57185.8,73.18,26.0,Fear,3.17,-2.8
2024-09-03,57479.8,59133.7,59799.7,57436.9,74.77,26.0,Fear,-2.8,0.86
2024-09-04,57973.4,57490.4,58508.8,55732.1,108.44,27.0,Fear,0.86,-3.09
2024-09-05,56183.2,57970.7,58318.9,55744.6,90.36,29.0,Fear,-3.09,-3.94
2024-09-06,53966.8,56179.7,56969.1,52644.6,155.84,22.0,Extreme Fear,-3.94,0.35
2024-09-07,54156.5,53965.0,54819.2,53754.3,58.11,23.0,Extreme Fear,0.35,1.3
2024-09-08,54861.3,54161.4,55292.7,53642.4,51.99,29.0,Fear,1.3,3.99
2024-09-09,57049.6,54868.0,57956.7,54595.4,105.33,26.0,Fear,3.99,1.03
2024-09-10,57635.0,57045.6,58019.9,56415.3,77.65,33.0,Fear,1.03,-0.51
2024-09-11,57338.7,57638.0,57975.9,55576.6,102.15,37.0,Fear,-0.51,1.39
2024-09-12,58134.5,57335.5,58484.1,57329.6,98.42,31.0,Fear,1.39,4.09
2024-09-13,60511.6,58134.4,60625.4,57656.8,102.12,32.0,Fear,4.09,-0.85
2024-09-14,59995.4,60514.8,60609.4,59494.3,44.47,50.0,Neutral,-0.85,-1.43
2024-09-15,59138.5,59995.6,60377.6,58717.9,47.01,51.0,Neutral,-1.43,-1.56
2024-09-16,58213.1,59126.2,59204.3,57527.8,87.6,39.0,Fear,-1.56,3.6
2024-09-17,60309.1,58213.1,61309.0,57630.2,106.3,33.0,Fear,3.6,2.4
2024-09-18,61757.6,60308.5,61757.6,59210.7,105.57,45.0,Fear,2.4,1.91
2024-09-19,62938.6,61754.8,63849.6,61596.5,120.17,49.0,Neutral,1.91,0.42
2024-09-20,63201.2,62942.4,64085.1,62367.1,90.65,54.0,Neutral,0.42,0.23
2024-09-21,63348.1,63201.2,63526.3,62778.6,33.2,54.0,Neutral,0.23,0.35
2024-09-22,63572.7,63351.2,63998.2,62394.6,48.86,52.0,Neutral,0.35,-0.38
2024-09-23,63331.8,63575.4,64723.4,62650.0,75.66,50.0,Neutral,-0.38,1.46
2024-09-24,64256.8,63335.9,64664.1,62740.8,76.71,54.0,Neutral,1.46,-1.71
2024-09-25,63156.5,64262.9,64788.4,62952.8,62.72,59.0,Greed,-1.71,3.2
2024-09-26,65175.7,63157.2,65770.9,62693.3,96.06,50.0,Neutral,3.2,0.92
2024-09-27,65776.3,65168.8,66440.7,64839.2,80.55,61.0,Greed,0.92,0.14
2024-09-28,65866.5,65775.6,66232.5,65438.1,35.0,64.0,Greed,0.14,-0.39
2024-09-29,65607.1,65862.8,66065.7,65436.8,32.6,63.0,Greed,-0.39,-3.46
2024-09-30,63339.2,65607.0,65607.0,62901.1,101.7,61.0,Greed,-3.46,-3.95
2024-10-01,60835.5,63329.9,64125.3,60195.9,134.93,50.0,Neutral,-3.95,-0.31
2024-10-02,60645.7,60834.2,62339.8,60002.7,98.94,42.0,Fear,-0.31,0.17
2024-10-03,60751.2,60642.0,61468.9,59904.4,82.43,37.0,Fear,0.17,2.19
2024-10-04,62081.0,60751.4,62471.7,60469.3,72.71,41.0,Fear,2.19,-0.03
2024-10-05,62061.4,62085.5,62366.8,61705.7,30.15,49.0,Neutral,-0.03,1.22
2024-10-06,62819.4,62062.0,62934.5,61495.4,31.72,50.0,Neutral,1.22,-0.91
2024-10-07,62245.6,62819.8,64449.3,62175.8,86.27,50.0,Neutral,-0.91,-0.14
2024-10-08,62157.0,62226.9,63196.6,61883.2,63.75,49.0,Neutral,-0.14,-2.46
2024-10-09,60628.8,62157.0,62537.0,60355.5,68.79,49.0,Neutral,-2.46,-0.52
2024-10-10,60316.2,60628.9,61304.6,59075.7,83.86,39.0,Fear,-0.52,3.62
2024-10-11,62499.4,60317.5,63385.1,60080.6,86.38,32.0,Fear,3.62,1.13
2024-10-12,63205.1,62506.6,63463.1,62486.1,40.91,49.0,Neutral,1.13,-0.53
2024-10-13,62870.9,63205.4,63284.6,62054.2,42.26,50.0,Neutral,-0.53,5.11
2024-10-14,66081.7,62870.7,66476.6,62463.7,122.09,48.0,Neutral,5.11,1.51
2024-10-15,67077.5,66084.1,67821.9,64850.6,136.72,65.0,Greed,1.51,0.81
2024-10-16,67617.9,67075.1,68389.4,66766.6,98.3,73.0,Greed,0.81,-0.3
2024-10-17,67418.4,67618.1,67933.5,66677.3,84.68,71.0,Greed,-0.3,1.49
2024-10-18,68423.1,67416.5,68990.3,67190.9,99.2,73.0,Greed,1.49,-0.07
2024-10-19,68372.0,68426.4,68688.8,68025.5,33.29,72.0,Greed,-0.07,0.96
2024-10-20,69030.5,68373.3,69386.4,67443.9,44.92,73.0,Greed,0.96,-2.4
2024-10-21,67371.3,69030.5,69490.8,66845.5,109.28,72.0,Greed,-2.4,0.08
2024-10-22,67427.3,67370.8,67815.3,66609.4,86.76,70.0,Greed,0.08,-1.13
2024-10-23,66663.7,67428.6,67441.1,65246.7,84.99,71.0,Greed,-1.13,2.29
2024-10-24,68191.5,66659.2,68831.8,66510.6,82.78,69.0,Greed,2.29,-2.19
2024-10-25,66696.8,68191.9,68756.8,65644.2,110.51,72.0,Greed,-2.19,0.58
2024-10-26,67086.8,66694.5,67408.4,66443.8,42.05,73.0,Greed,0.58,1.37
2024-10-27,68004.6,67084.7,68308.0,66924.6,33.58,74.0,Greed,1.37,2.87
2024-10-28,69954.1,68011.9,70203.4,67610.0,103.97,72.0,Greed,2.87,3.97
2024-10-29,72730.4,69957.2,73569.4,69753.2,168.6,72.0,Greed,3.97,-0.53
2024-10-30,72347.8,72732.5,72907.4,71460.0,99.05,77.0,Extreme Greed,-0.53,-2.86
2024-10-31,70281.8,72343.7,72685.7,69674.5,111.29,77.0,Extreme Greed,-2.86,-1.1
2024-11-01,69507.2,70278.7,71598.4,68846.0,130.46,75.0,Greed,-1.1,-0.26
2024-11-02,69325.8,69499.3,69896.9,69029.0,38.72,72.0,Greed,-0.26,-0.8
2024-11-03,68769.6,69334.8,69383.6,67514.2,83.16,74.0,Greed,-0.8,-1.34
2024-11-04,67848.8,68770.3,69483.4,66834.0,101.31,70.0,Greed,-1.34,2.25
2024-11-05,69373.7,67848.3,70495.6,67473.6,108.95,70.0,Greed,2.25,8.96
2024-11-06,75586.3,69374.1,76401.4,69323.0,357.28,70.0,Greed,8.96,0.37
2024-11-07,75868.6,75585.5,76837.8,74448.2,184.16,77.0,Extreme Greed,0.37,0.85
2024-11-08,76517.3,75869.8,77188.5,75599.0,155.17,75.0,Greed,0.85,0.24
2024-11-09,76700.3,76506.1,76904.0,75732.5,72.97,75.0,Greed,0.24,4.81
2024-11-10,80388.5,76681.4,81373.5,76520.5,193.83,78.0,Extreme Greed,4.81,10.29
2024-11-11,88664.1,80389.0,89519.0,80231.8,254.04,76.0,Extreme Greed,10.29,-0.82
2024-11-12,87941.3,88665.0,89929.6,85122.2,288.68,80.0,Extreme Greed,-0.82,2.82
2024-11-13,90422.2,87971.2,93226.6,86168.4,257.57,84.0,Extreme Greed,2.82,-3.46
2024-11-14,87294.0,90424.8,91726.7,86740.2,153.34,88.0,Extreme Greed,-3.46,4.3
2024-11-15,91046.5,87297.2,91833.1,87118.8,158.19,80.0,Extreme Greed,4.3,-0.56
2024-11-16,90539.1,91035.3,91748.9,90079.0,79.82,86.0,Extreme Greed,-0.56,-0.78
2024-11-17,89833.7,90569.4,91441.6,88736.1,81.24,90.0,Extreme Greed,-0.78,0.72
2024-11-18,90478.7,89843.3,92567.1,89410.4,150.47,83.0,Extreme Greed,0.72,1.95
2024-11-19,92239.2,90482.1,93918.5,90378.7,146.04,90.0,Extreme Greed,1.95,2.24
2024-11-20,94303.9,92252.6,94836.1,91517.4,121.46,83.0,Extreme Greed,2.24,4.32
2024-11-21,98374.5,94308.7,98937.2,94063.8,179.07,82.0,Extreme Greed,4.32,0.56
